ID,Name,Position,Team,Pick,Year,Team PF,Team Yds,Team Tot Yds & TOPly,Team Tot Yds & TOY/P,Team Tot Yds & TOTO,Team FL,Team 1stD,Team PassingCmp,Team PassingAtt,Team PassingYds,Team PassingTD,Team PassingInt,Team PassingNY/A,Team Passing1stD,Team RushingAtt,Team RushingYds,Team RushingTD,Team RushingY/A,Team Rushing1stD,Team PenaltiesPen,Team PenaltiesYds,Team Penalties1stPy,Team #Dr,Team Sc%,Team TO%,Team Average DriveStart,Team Average DriveTime,Team Average DrivePlays,Team Average DriveYds,Team Average DrivePts,Opp. PF,Opp. Yds,Opp. Tot Yds & TOPly,Opp. Tot Yds & TOY/P,Opp. Tot Yds & TOTO,Opp. FL,Opp. 1stD,Opp. PassingCmp,Opp. PassingAtt,Opp. PassingYds,Opp. PassingTD,Opp. PassingInt,Opp. PassingNY/A,Opp. Passing1stD,Opp. RushingAtt,Opp. RushingYds,Opp. RushingTD,Opp. RushingY/A,Opp. Rushing1stD,Opp. PenaltiesPen,Opp. PenaltiesYds,Opp. Penalties1stPy,Opp. #Dr,Opp. Sc%,Opp. TO%,Opp. Average DriveStart,Opp. Average DriveTime,Opp. Average DrivePlays,Opp. Average DriveYds,Opp. Average DrivePts,Off. Rank PF,Off. Rank Yds,Off. Rank Tot Yds & TOTO,Off. Rank FL,Off. Rank 1stD,Off. Rank PassingAtt,Off. Rank PassingYds,Off. Rank PassingTD,Off. Rank PassingInt,Off. Rank PassingNY/A,Off. Rank RushingAtt,Off. Rank RushingYds,Off. Rank RushingTD,Off. Rank RushingY/A,Off. Rank Sc%,Off. Rank TO%,Off. Rank Average DriveStart,Off. Rank Average DriveTime,Off. Rank Average DrivePlays,Off. Rank Average DriveYds,Off. Rank Average DrivePts,Def. Rank PF,Def. Rank Yds,Def. Rank Tot Yds & TOTO,Def. Rank FL,Def. Rank 1stD,Def. Rank PassingAtt,Def. Rank PassingYds,Def. Rank PassingTD,Def. Rank PassingInt,Def. Rank PassingNY/A,Def. Rank RushingAtt,Def. Rank RushingYds,Def. Rank RushingTD,Def. Rank RushingY/A,Def. Rank Sc%,Def. Rank TO%,Def. Rank Average DriveStart,Def. Rank Average DriveTime,Def. Rank Average DrivePlays,Def. Rank Average DriveYds,Def. Rank Average DrivePts
0,Joe Burrow,QB,Bengals,1,2020,279.0,5169.0,1049.0,4.9,30.0,14.0,312.0,356.0,616.0,3652.0,18.0,16.0,5.5,191.0,385.0,1517.0,9.0,3.9,85.0,93.0,761.0,36.0,181.0,29.8,15.5,28.0,2.62,5.97,28.5,1.49,420.0,6299.0,1034.0,6.1,16.0,5.0,328.0,308.0,499.0,3917.0,25.0,11.0,7.4,183.0,504.0,2382.0,17.0,4.7,124.0,122.0,988.0,21.0,183.0,39.3,8.7,27.8,2.72,5.8,34.4,2.1,30.0,26.0,27.0,28.0,24.0,6.0,19.0,28.0,23.0,27.0,25.0,25.0,26.0,24.0,27.0,5.0,20.0,19.0,12.0,24.0,28.0,25.0,29.0,28.0,30.0,17.0,2.0,21.0,17.0,22.0,31.0,32.0,32.0,27.0,25.0,9.0,27.0,12.0,18.0,15.0,28.0,22.0
1,Chase Young,DE,Redskins,2,2020,266.0,4395.0,885.0,5.0,21.0,8.0,248.0,298.0,479.0,2812.0,18.0,13.0,5.3,154.0,356.0,1583.0,9.0,4.4,74.0,106.0,835.0,20.0,176.0,29.5,11.9,28.3,2.47,5.18,25.0,1.5,435.0,6162.0,1079.0,5.7,22.0,9.0,354.0,371.0,540.0,3823.0,35.0,13.0,6.5,200.0,493.0,2339.0,14.0,4.7,120.0,94.0,805.0,34.0,176.0,42.0,11.9,31.9,3.02,6.3,34.9,2.38,32.0,31.0,16.0,11.0,32.0,28.0,32.0,28.0,18.0,30.0,31.0,22.0,26.0,13.0,28.0,11.0,17.0,31.0,31.0,30.0,29.0,27.0,27.0,15.0,14.0,28.0,11.0,18.0,30.0,12.0,21.0,31.0,31.0,17.0,26.0,4.0,15.0,31.0,31.0,29.0,29.0,30.0
2,Jeff Okudah,DB,Lions,3,2020,341.0,5549.0,1021.0,5.4,23.0,8.0,313.0,344.0,571.0,3900.0,28.0,15.0,6.4,196.0,407.0,1649.0,7.0,4.1,82.0,113.0,937.0,35.0,183.0,33.3,12.0,28.6,2.55,5.75,30.3,1.77,423.0,6406.0,1094.0,5.9,18.0,11.0,365.0,381.0,611.0,4551.0,33.0,7.0,7.1,232.0,455.0,1855.0,13.0,4.1,94.0,117.0,960.0,39.0,181.0,40.3,8.8,26.1,2.78,6.2,35.4,2.23,18.0,17.0,19.0,11.0,23.0,17.0,10.0,10.0,21.0,15.0,16.0,21.0,29.0,22.0,20.0,14.0,15.0,22.0,23.0,20.0,21.0,26.0,31.0,24.0,7.0,31.0,31.0,32.0,27.0,30.0,28.0,26.0,21.0,14.0,10.0,7.0,25.0,3.0,21.0,28.0,30.0,24.0
3,Andrew Thomas,T,Giants,4,2020,341.0,5416.0,1012.0,5.4,33.0,16.0,311.0,376.0,607.0,3731.0,30.0,17.0,5.7,187.0,362.0,1685.0,11.0,4.7,89.0,90.0,784.0,35.0,185.0,28.6,17.8,26.9,2.48,5.56,29.2,1.75,451.0,6037.0,1061.0,5.7,16.0,6.0,343.0,369.0,556.0,4225.0,30.0,10.0,7.1,211.0,469.0,1812.0,19.0,3.9,100.0,117.0,922.0,32.0,186.0,39.8,8.6,29.9,2.73,5.9,32.4,2.25,18.0,23.0,30.0,32.0,25.0,9.0,18.0,5.0,25.0,23.0,29.0,19.0,22.0,7.0,31.0,3.0,29.0,25.0,27.0,23.0,23.0,30.0,25.0,28.0,27.0,22.0,17.0,28.0,25.0,25.0,29.0,29.0,20.0,28.0,4.0,8.0,29.0,25.0,19.0,17.0,20.0,25.0
4,Tua Tagovailoa,QB,Dolphins,5,2020,306.0,4960.0,1022.0,4.9,26.0,8.0,315.0,371.0,615.0,3804.0,22.0,18.0,5.7,210.0,349.0,1156.0,10.0,3.3,64.0,92.0,769.0,41.0,182.0,30.2,13.7,27.7,2.53,5.78,27.1,1.61,494.0,6364.0,1053.0,6.0,16.0,3.0,361.0,344.0,545.0,4198.0,39.0,13.0,7.4,214.0,485.0,2166.0,15.0,4.5,113.0,111.0,1084.0,34.0,185.0,45.9,8.6,30.5,2.73,5.9,34.2,2.55,25.0,27.0,25.0,11.0,18.0,7.0,12.0,19.0,27.0,26.0,32.0,32.0,24.0,31.0,26.0,9.0,23.0,22.0,19.0,29.0,25.0,32.0,30.0,28.0,31.0,30.0,14.0,26.0,32.0,12.0,32.0,30.0,27.0,21.0,22.0,1.0,28.0,27.0,20.0,20.0,26.0,32.0
5,Justin Herbert,QB,Chargers,6,2020,337.0,5879.0,997.0,5.9,31.0,11.0,349.0,394.0,597.0,4426.0,24.0,20.0,7.0,220.0,366.0,1453.0,12.0,4.0,90.0,103.0,872.0,39.0,160.0,38.8,18.1,26.3,3.08,6.44,36.6,2.06,345.0,5009.0,923.0,5.4,14.0,3.0,285.0,328.0,464.0,3204.0,21.0,11.0,6.5,156.0,429.0,1805.0,15.0,4.2,101.0,108.0,959.0,28.0,161.0,36.6,8.7,29.5,2.93,5.9,31.1,1.99,21.0,10.0,29.0,22.0,7.0,10.0,6.0,17.0,29.0,8.0,28.0,28.0,20.0,23.0,8.0,2.0,31.0,2.0,3.0,4.0,11.0,14.0,6.0,32.0,31.0,3.0,1.0,5.0,8.0,22.0,20.0,21.0,18.0,21.0,15.0,15.0,32.0,23.0,29.0,21.0,15.0,18.0
6,Derrick Brown,DT,Panthers,7,2020,340.0,5469.0,1077.0,5.1,35.0,14.0,335.0,382.0,633.0,3650.0,17.0,21.0,5.3,230.0,386.0,1819.0,20.0,4.7,82.0,87.0,754.0,23.0,192.0,32.3,16.7,29.0,2.42,5.77,28.5,1.74,470.0,5992.0,1042.0,5.8,21.0,7.0,355.0,347.0,544.0,3696.0,21.0,14.0,6.2,197.0,445.0,2296.0,31.0,5.2,128.0,109.0,940.0,30.0,197.0,40.1,10.2,30.0,2.53,5.5,30.4,2.26,20.0,19.0,31.0,28.0,15.0,2.0,20.0,31.0,30.0,31.0,24.0,14.0,4.0,6.0,23.0,4.0,12.0,32.0,18.0,25.0,22.0,31.0,23.0,17.0,24.0,29.0,12.0,13.0,8.0,8.0,14.0,25.0,29.0,32.0,32.0,5.0,23.0,24.0,5.0,3.0,14.0,28.0
7,Isaiah Simmons,LB,Cardinals,8,2020,361.0,5467.0,1000.0,5.5,18.0,6.0,314.0,355.0,554.0,3477.0,20.0,12.0,5.8,176.0,396.0,1990.0,18.0,5.0,109.0,121.0,956.0,29.0,178.0,38.8,10.1,27.7,2.48,5.81,30.6,2.02,442.0,6432.0,1080.0,6.0,17.0,10.0,375.0,421.0,601.0,4510.0,38.0,7.0,7.0,243.0,439.0,1922.0,9.0,4.4,94.0,114.0,1041.0,38.0,172.0,43.0,9.3,27.5,3.07,6.5,37.4,2.38,16.0,21.0,9.0,2.0,20.0,18.0,24.0,25.0,15.0,22.0,19.0,10.0,7.0,2.0,9.0,24.0,21.0,27.0,17.0,19.0,14.0,28.0,32.0,25.0,10.0,32.0,28.0,31.0,31.0,30.0,27.0,23.0,24.0,5.0,20.0,3.0,22.0,7.0,32.0,31.0,32.0,29.0
8,CJ Henderson,DB,Jaguars,9,2020,300.0,5468.0,1020.0,5.4,20.0,12.0,298.0,364.0,589.0,3760.0,24.0,8.0,6.0,183.0,389.0,1708.0,3.0,4.4,85.0,132.0,1165.0,30.0,177.0,33.9,10.2,25.9,2.75,5.95,30.9,1.63,397.0,6007.0,999.0,6.0,19.0,9.0,340.0,327.0,517.0,3778.0,22.0,10.0,6.7,193.0,435.0,2229.0,23.0,5.1,114.0,102.0,883.0,33.0,180.0,37.2,9.4,29.5,2.62,5.7,33.2,2.12,26.0,20.0,13.0,26.0,27.0,12.0,16.0,17.0,5.0,19.0,23.0,17.0,32.0,15.0,19.0,22.0,32.0,13.0,14.0,17.0,26.0,21.0,24.0,22.0,14.0,21.0,5.0,16.0,12.0,25.0,23.0,22.0,28.0,31.0,31.0,13.0,24.0,21.0,9.0,10.0,22.0,23.0
9,Jedrick Wills,T,Browns,10,2020,335.0,5455.0,973.0,5.6,28.0,7.0,305.0,318.0,539.0,3554.0,22.0,21.0,6.1,180.0,393.0,1901.0,15.0,4.8,90.0,122.0,1106.0,35.0,183.0,33.9,14.8,29.3,2.6,5.48,29.7,1.83,393.0,5785.0,1014.0,5.7,20.0,6.0,345.0,318.0,513.0,3470.0,25.0,14.0,6.3,184.0,463.0,2315.0,19.0,5.0,124.0,107.0,836.0,37.0,182.0,36.8,11.0,28.0,2.67,5.7,31.7,2.07,22.0,22.0,26.0,5.0,26.0,19.0,22.0,19.0,30.0,17.0,22.0,12.0,15.0,4.0,18.0,7.0,8.0,20.0,28.0,22.0,20.0,20.0,22.0,19.0,27.0,25.0,3.0,7.0,17.0,8.0,17.0,28.0,30.0,28.0,30.0,17.0,17.0,13.0,13.0,11.0,17.0,21.0
